draft_player_id,fpl_player_id,notes
554,557,Tzolis
555,566,Silva
556,565,M.Sangaré
557,560,Penders
558,561,Anselmino
559,555,Matthews
560,556,Targett
561,563,Morita
562,554,Van Oevelen
563,562,Maeda
565,559,Bamba
566,567,Horníček
567,558,Schlager
571,572,Tzolakis
572,571,Florentino
574,575,Yirenkyi
575,577,Tomiyasu
576,574,Hjertø-Dahl
577,576,Stroud
579,580,Charles
580,579,Araujo
593,594,David
594,595,Gozo
595,593,Dedić
598,599,Cherif
599,598,Elvedi
601,602,Humphreys
602,603,Lienou
603,604,Cresswell
604,601,Williams-Barnett
605,606,Rowe
606,607,Lynch
607,608,Jebbison
608,605,Yalcouyé
613,614,Hadjam
614,613,Ahoka
617,618,Goretzka
618,617,Cho
625,626,Zepa
626,625,Cairns
627,629,Zetterer
628,627,Barcola
629,628,Allan
632,639,Andrés
634,643,Chilwell
635,644,Timber
636,647,Osorio
637,649,Maitland-Niles
638,635,Larsson
639,636,Ángel
640,650,Affengruber
641,632,Ansah
642,637,Vaz
643,638,Norton-Cuffy
644,642,Thomas (duplicate name resolved from audit)
646,640,Flemming
647,641,Bard
649,634,Fernandez-Pardo
650,646,Fofana (duplicate name resolved from audit)
663,667,Wright (duplicate name resolved from audit)
664,663,Pivas
665,664,Salia
666,665,Mills
667,666,Thompson
