draft_player_id,draft_player_name,current_fpl_player_id,current_fpl_player_name,suggested_fpl_player_id,suggested_fpl_player_name,status,manual_override,notes
1,Raya,1,Raya,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
2,Arrizabalaga,2,Arrizabalaga,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
3,Meslier,3,Meslier,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
4,Gabriel,4,Gabriel,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
5,J.Timber,5,J.Timber,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
6,Saliba,6,Saliba,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
7,Lewis-Skelly,7,Lewis-Skelly,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
8,Calafiori,8,Calafiori,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
9,Hincapie,9,Hincapie,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
10,White,10,White,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
11,Mosquera,11,Mosquera,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
12,Saka,12,Saka,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
13,Rice,13,Rice,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
14,Eze,14,Eze,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
15,Ødegaard,15,Ødegaard,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
16,Madueke,16,Madueke,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
17,Merino,17,Merino,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
18,Martinelli,18,Martinelli,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
19,Zubimendi,19,Zubimendi,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
20,Dowman,20,Dowman,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
21,Nørgaard,21,Nørgaard,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
22,Nwaneri,22,Nwaneri,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
23,Fábio Vieira,23,Fábio Vieira,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
24,Nelson,24,Nelson,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
25,Gyökeres,25,Gyökeres,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
26,Havertz,26,Havertz,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
27,G.Jesus,27,G.Jesus,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
28,Martinez,28,Martinez,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
29,M.Bizot,29,M.Bizot,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
30,Digne,30,Digne,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
31,Konsa,31,Konsa,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
32,Cash,32,Cash,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
33,Mings,33,Mings,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
34,Pau,34,Pau,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
35,Bogarde,35,Bogarde,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
36,Maatsen,36,Maatsen,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
37,Lindelöf,37,Lindelöf,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
38,A.García,38,A.García,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
39,Nedeljkovic,39,Nedeljkovic,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
40,Rogers,40,Rogers,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
41,Buendía,41,Buendía,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
42,Guessand,42,Guessand,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
43,Tielemans,43,Tielemans,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
44,Bailey,44,Bailey,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
45,McGinn,45,McGinn,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
46,Barkley,46,Barkley,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
47,Kamara,47,Kamara,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
48,Onana,48,Onana,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
49,Iling Jr,49,Iling Jr,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
50,Burrowes,50,Burrowes,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
51,George Hemmings,51,George Hemmings,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
52,Alysson,52,Alysson,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
53,Manzambi,53,Manzambi,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
54,Gomes,54,Gomes,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
55,Watkins,55,Watkins,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
56,Abraham,56,Abraham,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
57,Petrović,57,Petrović,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
58,Forster,58,Forster,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
59,Dennis,59,Dennis,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
60,Hill,60,Hill,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
61,Truffert,61,Truffert,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
62,Diakité,62,Diakité,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
63,Milosavljević,63,Milosavljević,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
64,Smith,64,Smith,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
65,J.Araujo,65,J.Araujo,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
66,Soler,66,Soler,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
67,Rayan,67,Rayan,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
68,Tavernier,68,Tavernier,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
69,Scott,69,Scott,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
70,Kluivert,70,Kluivert,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
71,Cook,71,Cook,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
72,Gannon-Doak,72,Gannon-Doak,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
73,Adams,73,Adams,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
74,Brooks,74,Brooks,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
75,Christie,75,Christie,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
76,Tóth.A,76,Tóth.A,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
77,Adli,77,Adli,,,MATCH / UNVERIFIED,no,Suggestions use unique exact normalized names ONLY; verify manually.
